,date,datatype,station,attributes,value
0,1990-01-01T00:00:00,PRCP,GHCND:USW00093812,",,0,2400",0
1,1990-01-01T00:00:00,SNOW,GHCND:USW00093812,",,0,",0
2,1990-01-01T00:00:00,SNWD,GHCND:USW00093812,"T,,0,",0
3,1990-01-01T00:00:00,TMAX,GHCND:USW00093812,",,0,2400",17
4,1990-01-01T00:00:00,TMIN,GHCND:USW00093812,",,0,2400",-44
5,1990-01-01T00:00:00,WT01,GHCND:USW00093812,",,0,",1
6,1990-01-02T00:00:00,PRCP,GHCND:USW00093812,",,0,2400",0
7,1990-01-02T00:00:00,SNOW,GHCND:USW00093812,",,0,",0
8,1990-01-02T00:00:00,SNWD,GHCND:USW00093812,",,0,",0
9,1990-01-02T00:00:00,TMAX,GHCND:USW00093812,",,0,2400",61
10,1990-01-02T00:00:00,TMIN,GHCND:USW00093812,",,0,2400",-61
11,1990-01-03T00:00:00,PRCP,GHCND:USW00093812,"T,,0,2400",0
12,1990-01-03T00:00:00,SNOW,GHCND:USW00093812,",,0,",0
13,1990-01-03T00:00:00,SNWD,GHCND:USW00093812,",,0,",0
14,1990-01-03T00:00:00,TMAX,GHCND:USW00093812,",,0,2400",100
15,1990-01-03T00:00:00,TMIN,GHCND:USW00093812,",,0,2400",22
16,1990-01-03T00:00:00,WT16,GHCND:USW00093812,",,0,",1
17,1990-01-04T00:00:00,PRCP,GHCND:USW00093812,",,0,2400",25
18,1990-01-04T00:00:00,SNOW,GHCND:USW00093812,",,0,",0
19,1990-01-04T00:00:00,SNWD,GHCND:USW00093812,",,0,",0
20,1990-01-04T00:00:00,TMAX,GHCND:USW00093812,",,0,2400",139
21,1990-01-04T00:00:00,TMIN,GHCND:USW00093812,",,0,2400",39
22,1990-01-04T00:00:00,WT01,GHCND:USW00093812,",,0,",1
23,1990-01-04T00:00:00,WT16,GHCND:USW00093812,",,0,",1
24,1990-01-05T00:00:00,PRCP,GHCND:USW00093812,",,0,2400",0
25,1990-01-05T00:00:00,SNOW,GHCND:USW00093812,",,0,",0
26,1990-01-05T00:00:00,SNWD,GHCND:USW00093812,",,0,",0
27,1990-01-05T00:00:00,TMAX,GHCND:USW00093812,",,0,2400",56
28,1990-01-05T00:00:00,TMIN,GHCND:USW00093812,",,0,2400",11
29,1990-01-06T00:00:00,PRCP,GHCND:USW00093812,",,0,2400",0
30,1990-01-06T00:00:00,SNOW,GHCND:USW00093812,",,0,",0
31,1990-01-06T00:00:00,SNWD,GHCND:USW00093812,",,0,",0
32,1990-01-06T00:00:00,TMAX,GHCND:USW00093812,",,0,2400",78
33,1990-01-06T00:00:00,TMIN,GHCND:USW00093812,",,0,2400",-22
34,1990-01-06T00:00:00,WT08,GHCND:USW00093812,",,0,",1
35,1990-01-07T00:00:00,PRCP,GHCND:USW00093812,",,0,2400",0
36,1990-01-07T00:00:00,SNOW,GHCND:USW00093812,",,0,",0
37,1990-01-07T00:00:00,SNWD,GHCND:USW00093812,",,0,",0
38,1990-01-07T00:00:00,TMAX,GHCND:USW00093812,",,0,2400",89
39,1990-01-07T00:00:00,TMIN,GHCND:USW00093812,",,0,2400",-56
40,1990-01-07T00:00:00,WT01,GHCND:USW00093812,",,0,",1
41,1990-01-08T00:00:00,PRCP,GHCND:USW00093812,",,0,2400",0
42,1990-01-08T00:00:00,SNOW,GHCND:USW00093812,",,0,",0
43,1990-01-08T00:00:00,SNWD,GHCND:USW00093812,",,0,",0
44,1990-01-08T00:00:00,TMAX,GHCND:USW00093812,",,0,2400",106
45,1990-01-08T00:00:00,TMIN,GHCND:USW00093812,",,0,2400",-39
46,1990-01-09T00:00:00,PRCP,GHCND:USW00093812,",,0,2400",10
47,1990-01-09T00:00:00,SNOW,GHCND:USW00093812,",,0,",0
48,1990-01-09T00:00:00,SNWD,GHCND:USW00093812,",,0,",0
49,1990-01-09T00:00:00,TMAX,GHCND:USW00093812,",,0,2400",122
50,1990-01-09T00:00:00,TMIN,GHCND:USW00093812,",,0,2400",17
51,1990-01-09T00:00:00,WT01,GHCND:USW00093812,",,0,",1
52,1990-01-09T00:00:00,WT08,GHCND:USW00093812,",,0,",1
53,1990-01-09T00:00:00,WT16,GHCND:USW00093812,",,0,",1
54,1990-01-10T00:00:00,PRCP,GHCND:USW00093812,"T,,0,2400",0
55,1990-01-10T00:00:00,SNOW,GHCND:USW00093812,"T,,0,",0
56,1990-01-10T00:00:00,SNWD,GHCND:USW00093812,",,0,",0
57,1990-01-10T00:00:00,TMAX,GHCND:USW00093812,",,0,2400",78
58,1990-01-10T00:00:00,TMIN,GHCND:USW00093812,",,0,2400",-6
59,1990-01-10T00:00:00,WT18,GHCND:USW00093812,",,0,",1
60,1990-01-11T00:00:00,PRCP,GHCND:USW00093812,",,0,2400",0
61,1990-01-11T00:00:00,SNOW,GHCND:USW00093812,",,0,",0
62,1990-01-11T00:00:00,SNWD,GHCND:USW00093812,",,0,",0
63,1990-01-11T00:00:00,TMAX,GHCND:USW00093812,",,0,2400",100
64,1990-01-11T00:00:00,TMIN,GHCND:USW00093812,",,0,2400",-6
65,1990-01-12T00:00:00,PRCP,GHCND:USW00093812,"T,,0,2400",0
66,1990-01-12T00:00:00,SNOW,GHCND:USW00093812,"T,,0,",0
67,1990-01-12T00:00:00,SNWD,GHCND:USW00093812,",,0,",0
68,1990-01-12T00:00:00,TMAX,GHCND:USW00093812,",,0,2400",28
69,1990-01-12T00:00:00,TMIN,GHCND:USW00093812,",,0,2400",-28
70,1990-01-12T00:00:00,WT18,GHCND:USW00093812,",,0,",1
71,1990-01-13T00:00:00,PRCP,GHCND:USW00093812,",,0,2400",0
72,1990-01-13T00:00:00,SNOW,GHCND:USW00093812,",,0,",0
73,1990-01-13T00:00:00,SNWD,GHCND:USW00093812,",,0,",0
74,1990-01-13T00:00:00,TMAX,GHCND:USW00093812,",,0,2400",17
75,1990-01-13T00:00:00,TMIN,GHCND:USW00093812,",,0,2400",-50
76,1990-01-14T00:00:00,PRCP,GHCND:USW00093812,",,0,2400",10
77,1990-01-14T00:00:00,SNOW,GHCND:USW00093812,"T,,0,",0
78,1990-01-14T00:00:00,SNWD,GHCND:USW00093812,",,0,",0
79,1990-01-14T00:00:00,TMAX,GHCND:USW00093812,",,0,2400",67
80,1990-01-14T00:00:00,TMIN,GHCND:USW00093812,",,0,2400",-44
81,1990-01-14T00:00:00,WT04,GHCND:USW00093812,",,0,",1
82,1990-01-14T00:00:00,WT16,GHCND:USW00093812,",,0,",1
83,1990-01-15T00:00:00,PRCP,GHCND:USW00093812,",,0,2400",0
84,1990-01-15T00:00:00,SNOW,GHCND:USW00093812,",,0,",0
85,1990-01-15T00:00:00,SNWD,GHCND:USW00093812,",,0,",0
86,1990-01-15T00:00:00,TMAX,GHCND:USW00093812,",,0,2400",156
87,1990-01-15T00:00:00,TMIN,GHCND:USW00093812,",,0,2400",33
88,1990-01-15T00:00:00,WT01,GHCND:USW00093812,",,0,",1
89,1990-01-16T00:00:00,PRCP,GHCND:USW00093812,"T,,0,2400",0
90,1990-01-16T00:00:00,SNOW,GHCND:USW00093812,",,0,",0
91,1990-01-16T00:00:00,SNWD,GHCND:USW00093812,",,0,",0
92,1990-01-16T00:00:00,TMAX,GHCND:USW00093812,",,0,2400",167
93,1990-01-16T00:00:00,TMIN,GHCND:USW00093812,",,0,2400",28
94,1990-01-16T00:00:00,WT01,GHCND:USW00093812,",,0,",1
95,1990-01-16T00:00:00,WT08,GHCND:USW00093812,",,0,",1
96,1990-01-16T00:00:00,WT16,GHCND:USW00093812,",,0,",1
97,1990-01-17T00:00:00,PRCP,GHCND:USW00093812,",,0,2400",76
98,1990-01-17T00:00:00,SNOW,GHCND:USW00093812,",,0,",0
99,1990-01-17T00:00:00,SNWD,GHCND:USW00093812,",,0,",0
100,1990-01-17T00:00:00,TMAX,GHCND:USW00093812,",,0,2400",161
101,1990-01-17T00:00:00,TMIN,GHCND:USW00093812,",,0,2400",78
102,1990-01-17T00:00:00,WT01,GHCND:USW00093812,",,0,",1
103,1990-01-17T00:00:00,WT16,GHCND:USW00093812,",,0,",1
104,1990-01-18T00:00:00,PRCP,GHCND:USW00093812,",,0,2400",0
105,1990-01-18T00:00:00,SNOW,GHCND:USW00093812,",,0,",0
106,1990-01-18T00:00:00,SNWD,GHCND:USW00093812,",,0,",0
107,1990-01-18T00:00:00,TMAX,GHCND:USW00093812,",,0,2400",161
108,1990-01-18T00:00:00,TMIN,GHCND:USW00093812,",,0,2400",22
109,1990-01-18T00:00:00,WT01,GHCND:USW00093812,",,0,",1
110,1990-01-19T00:00:00,PRCP,GHCND:USW00093812,",,0,2400",94
111,1990-01-19T00:00:00,SNOW,GHCND:USW00093812,",,0,",0
112,1990-01-19T00:00:00,SNWD,GHCND:USW00093812,",,0,",0
113,1990-01-19T00:00:00,TMAX,GHCND:USW00093812,",,0,2400",39
114,1990-01-19T00:00:00,TMIN,GHCND:USW00093812,",,0,2400",-11
115,1990-01-19T00:00:00,WT01,GHCND:USW00093812,",,0,",1
116,1990-01-19T00:00:00,WT08,GHCND:USW00093812,",,0,",1
117,1990-01-19T00:00:00,WT16,GHCND:USW00093812,",,0,",1
118,1990-01-20T00:00:00,PRCP,GHCND:USW00093812,",,0,2400",188
119,1990-01-20T00:00:00,SNOW,GHCND:USW00093812,",,0,",0
120,1990-01-20T00:00:00,SNWD,GHCND:USW00093812,",,0,",0
121,1990-01-20T00:00:00,TMAX,GHCND:USW00093812,",,0,2400",167
122,1990-01-20T00:00:00,TMIN,GHCND:USW00093812,",,0,2400",22
123,1990-01-20T00:00:00,WT01,GHCND:USW00093812,",,0,",1
124,1990-01-20T00:00:00,WT08,GHCND:USW00093812,",,0,",1
125,1990-01-20T00:00:00,WT14,GHCND:USW00093812,",,X,",1
126,1990-01-20T00:00:00,WT16,GHCND:USW00093812,",,0,",1
127,1990-01-21T00:00:00,PRCP,GHCND:USW00093812,",,0,2400",0
128,1990-01-21T00:00:00,SNOW,GHCND:USW00093812,",,0,",0
129,1990-01-21T00:00:00,SNWD,GHCND:USW00093812,",,0,",0
130,1990-01-21T00:00:00,TMAX,GHCND:USW00093812,",,0,2400",100
131,1990-01-21T00:00:00,TMIN,GHCND:USW00093812,",,0,2400",28
132,1990-01-22T00:00:00,PRCP,GHCND:USW00093812,",,0,2400",0
133,1990-01-22T00:00:00,SNOW,GHCND:USW00093812,",,0,",0
134,1990-01-22T00:00:00,SNWD,GHCND:USW00093812,",,0,",0
135,1990-01-22T00:00:00,TMAX,GHCND:USW00093812,",,0,2400",100
136,1990-01-22T00:00:00,TMIN,GHCND:USW00093812,",,0,2400",0
137,1990-01-23T00:00:00,PRCP,GHCND:USW00093812,",,0,2400",3
138,1990-01-23T00:00:00,SNOW,GHCND:USW00093812,",,0,",0
139,1990-01-23T00:00:00,SNWD,GHCND:USW00093812,",,0,",0
140,1990-01-23T00:00:00,TMAX,GHCND:USW00093812,",,0,2400",128
141,1990-01-23T00:00:00,TMIN,GHCND:USW00093812,",,0,2400",-22
142,1990-01-23T00:00:00,WT01,GHCND:USW00093812,",,0,",1
143,1990-01-23T00:00:00,WT16,GHCND:USW00093812,",,0,",1
144,1990-01-24T00:00:00,PRCP,GHCND:USW00093812,",,0,2400",0
145,1990-01-24T00:00:00,SNOW,GHCND:USW00093812,",,0,",0
146,1990-01-24T00:00:00,SNWD,GHCND:USW00093812,",,0,",0
147,1990-01-24T00:00:00,TMAX,GHCND:USW00093812,",,0,2400",144
148,1990-01-24T00:00:00,TMIN,GHCND:USW00093812,",,0,2400",44
149,1990-01-25T00:00:00,PRCP,GHCND:USW00093812,",,0,2400",13
150,1990-01-25T00:00:00,SNOW,GHCND:USW00093812,",,0,",0
151,1990-01-25T00:00:00,SNWD,GHCND:USW00093812,",,0,",0
152,1990-01-25T00:00:00,TMAX,GHCND:USW00093812,",,0,2400",122
153,1990-01-25T00:00:00,TMIN,GHCND:USW00093812,",,0,2400",6
154,1990-01-25T00:00:00,WT01,GHCND:USW00093812,",,0,",1
155,1990-01-25T00:00:00,WT14,GHCND:USW00093812,",,X,",1
156,1990-01-25T00:00:00,WT16,GHCND:USW00093812,",,0,",1
157,1990-01-26T00:00:00,PRCP,GHCND:USW00093812,",,0,2400",0
158,1990-01-26T00:00:00,SNOW,GHCND:USW00093812,",,0,",0
159,1990-01-26T00:00:00,SNWD,GHCND:USW00093812,",,0,",0
160,1990-01-26T00:00:00,TMAX,GHCND:USW00093812,",,0,2400",72
161,1990-01-26T00:00:00,TMIN,GHCND:USW00093812,",,0,2400",-22
162,1990-01-27T00:00:00,PRCP,GHCND:USW00093812,"T,,0,2400",0
163,1990-01-27T00:00:00,SNOW,GHCND:USW00093812,",,0,",0
164,1990-01-27T00:00:00,SNWD,GHCND:USW00093812,",,0,",0
165,1990-01-27T00:00:00,TMAX,GHCND:USW00093812,",,0,2400",139
166,1990-01-27T00:00:00,TMIN,GHCND:USW00093812,",,0,2400",-28
167,1990-01-27T00:00:00,WT16,GHCND:USW00093812,",,0,",1
168,1990-01-28T00:00:00,PRCP,GHCND:USW00093812,",,0,2400",20
