,date,datatype,station,attributes,value
0,1997-06-01T00:00:00,PRCP,GHCND:USC00330676,",,0,0700",165
1,1997-06-01T00:00:00,SNOW,GHCND:USC00330676,"P,,0,",0
2,1997-06-01T00:00:00,TMAX,GHCND:USC00330676,",,0,0700",206
3,1997-06-01T00:00:00,TMIN,GHCND:USC00330676,",,0,0700",156
4,1997-06-01T00:00:00,TOBS,GHCND:USC00330676,",,0,0700",183
5,1997-06-02T00:00:00,PRCP,GHCND:USC00330676,",,0,0700",328
6,1997-06-02T00:00:00,SNOW,GHCND:USC00330676,"P,,0,",0
7,1997-06-02T00:00:00,SNWD,GHCND:USC00330676,"P,,0,",0
8,1997-06-02T00:00:00,TMAX,GHCND:USC00330676,",,0,0700",272
9,1997-06-02T00:00:00,TMIN,GHCND:USC00330676,",,0,0700",150
10,1997-06-02T00:00:00,TOBS,GHCND:USC00330676,",,0,0700",161
11,1997-06-02T00:00:00,WT01,GHCND:USC00330676,",,0,",1
12,1997-06-03T00:00:00,PRCP,GHCND:USC00330676,",,0,0700",48
13,1997-06-03T00:00:00,SNOW,GHCND:USC00330676,"P,,0,",0
14,1997-06-03T00:00:00,SNWD,GHCND:USC00330676,"P,,0,",0
15,1997-06-03T00:00:00,TMAX,GHCND:USC00330676,",,0,0700",294
16,1997-06-03T00:00:00,TMIN,GHCND:USC00330676,",,0,0700",144
17,1997-06-03T00:00:00,TOBS,GHCND:USC00330676,",,0,0700",150
18,1997-06-04T00:00:00,PRCP,GHCND:USC00330676,",,0,0700",130
19,1997-06-04T00:00:00,SNOW,GHCND:USC00330676,"P,,0,",0
20,1997-06-04T00:00:00,SNWD,GHCND:USC00330676,"P,,0,",0
21,1997-06-04T00:00:00,TMAX,GHCND:USC00330676,",,0,0700",172
22,1997-06-04T00:00:00,TMIN,GHCND:USC00330676,",,0,0700",94
23,1997-06-04T00:00:00,TOBS,GHCND:USC00330676,",,0,0700",117
24,1997-06-05T00:00:00,PRCP,GHCND:USC00330676,",,0,0700",0
25,1997-06-05T00:00:00,SNOW,GHCND:USC00330676,"P,,0,",0
26,1997-06-05T00:00:00,SNWD,GHCND:USC00330676,"P,,0,",0
27,1997-06-05T00:00:00,TMAX,GHCND:USC00330676,",,0,0700",250
28,1997-06-05T00:00:00,TMIN,GHCND:USC00330676,",,0,0700",89
29,1997-06-05T00:00:00,TOBS,GHCND:USC00330676,",,0,0700",94
30,1997-06-06T00:00:00,PRCP,GHCND:USC00330676,",,0,0700",0
31,1997-06-06T00:00:00,SNOW,GHCND:USC00330676,"P,,0,",0
32,1997-06-06T00:00:00,SNWD,GHCND:USC00330676,"P,,0,",0
33,1997-06-06T00:00:00,TMAX,GHCND:USC00330676,",,0,0700",250
34,1997-06-06T00:00:00,TMIN,GHCND:USC00330676,",,0,0700",94
35,1997-06-06T00:00:00,TOBS,GHCND:USC00330676,",,0,0700",133
36,1997-06-07T00:00:00,PRCP,GHCND:USC00330676,",,0,0700",0
37,1997-06-07T00:00:00,SNOW,GHCND:USC00330676,"P,,0,",0
38,1997-06-07T00:00:00,SNWD,GHCND:USC00330676,"P,,0,",0
39,1997-06-07T00:00:00,TMAX,GHCND:USC00330676,",,0,0700",233
40,1997-06-07T00:00:00,TMIN,GHCND:USC00330676,",,0,0700",94
41,1997-06-07T00:00:00,TOBS,GHCND:USC00330676,",,0,0700",128
42,1997-06-08T00:00:00,PRCP,GHCND:USC00330676,",,0,0700",0
43,1997-06-08T00:00:00,SNOW,GHCND:USC00330676,"P,,0,",0
44,1997-06-08T00:00:00,SNWD,GHCND:USC00330676,"P,,0,",0
45,1997-06-08T00:00:00,TMAX,GHCND:USC00330676,",,0,0700",217
46,1997-06-08T00:00:00,TMIN,GHCND:USC00330676,",,0,0700",117
47,1997-06-08T00:00:00,TOBS,GHCND:USC00330676,",,0,0700",172
48,1997-06-09T00:00:00,PRCP,GHCND:USC00330676,",,0,0700",0
49,1997-06-09T00:00:00,SNOW,GHCND:USC00330676,"P,,0,",0
50,1997-06-09T00:00:00,SNWD,GHCND:USC00330676,"P,,0,",0
51,1997-06-09T00:00:00,TMAX,GHCND:USC00330676,",,0,0700",217
52,1997-06-09T00:00:00,TMIN,GHCND:USC00330676,",,0,0700",117
53,1997-06-09T00:00:00,TOBS,GHCND:USC00330676,",,0,0700",128
54,1997-06-10T00:00:00,PRCP,GHCND:USC00330676,",,0,0700",0
55,1997-06-10T00:00:00,SNOW,GHCND:USC00330676,"P,,0,",0
56,1997-06-10T00:00:00,SNWD,GHCND:USC00330676,"P,,0,",0
57,1997-06-10T00:00:00,TMAX,GHCND:USC00330676,",,0,0700",272
58,1997-06-10T00:00:00,TMIN,GHCND:USC00330676,",,0,0700",106
59,1997-06-10T00:00:00,TOBS,GHCND:USC00330676,",I,0,0700",111
60,1997-06-10T00:00:00,WT01,GHCND:USC00330676,",,0,",1
61,1997-06-11T00:00:00,PRCP,GHCND:USC00330676,",,0,0700",0
62,1997-06-11T00:00:00,SNOW,GHCND:USC00330676,"P,,0,",0
63,1997-06-11T00:00:00,SNWD,GHCND:USC00330676,"P,,0,",0
64,1997-06-11T00:00:00,TMAX,GHCND:USC00330676,",,0,0700",300
65,1997-06-11T00:00:00,TMIN,GHCND:USC00330676,",I,0,0700",144
66,1997-06-11T00:00:00,TOBS,GHCND:USC00330676,",I,0,0700",144
67,1997-06-12T00:00:00,PRCP,GHCND:USC00330676,",,0,0700",0
68,1997-06-12T00:00:00,SNOW,GHCND:USC00330676,"P,,0,",0
69,1997-06-12T00:00:00,SNWD,GHCND:USC00330676,"P,,0,",0
70,1997-06-12T00:00:00,TMAX,GHCND:USC00330676,",,0,0700",278
71,1997-06-12T00:00:00,TMIN,GHCND:USC00330676,",I,0,0700",183
72,1997-06-12T00:00:00,TOBS,GHCND:USC00330676,",,0,0700",183
73,1997-06-13T00:00:00,PRCP,GHCND:USC00330676,",,0,0700",38
74,1997-06-13T00:00:00,SNOW,GHCND:USC00330676,"P,,0,",0
75,1997-06-13T00:00:00,SNWD,GHCND:USC00330676,"P,,0,",0
76,1997-06-13T00:00:00,TMAX,GHCND:USC00330676,",,0,0700",267
77,1997-06-13T00:00:00,TMIN,GHCND:USC00330676,",,0,0700",178
78,1997-06-13T00:00:00,TOBS,GHCND:USC00330676,",,0,0700",189
79,1997-06-13T00:00:00,WT03,GHCND:USC00330676,",,0,",1
80,1997-06-14T00:00:00,PRCP,GHCND:USC00330676,",,0,0700",145
81,1997-06-14T00:00:00,SNOW,GHCND:USC00330676,"P,,0,",0
82,1997-06-14T00:00:00,SNWD,GHCND:USC00330676,"P,,0,",0
83,1997-06-14T00:00:00,TMAX,GHCND:USC00330676,",,0,0700",267
84,1997-06-14T00:00:00,TMIN,GHCND:USC00330676,",,0,0700",172
85,1997-06-14T00:00:00,TOBS,GHCND:USC00330676,",,0,0700",194
86,1997-06-15T00:00:00,PRCP,GHCND:USC00330676,",,0,0700",145
87,1997-06-15T00:00:00,SNOW,GHCND:USC00330676,"P,,0,",0
88,1997-06-15T00:00:00,SNWD,GHCND:USC00330676,"P,,0,",0
89,1997-06-15T00:00:00,TMAX,GHCND:USC00330676,",,0,0700",272
90,1997-06-15T00:00:00,TMIN,GHCND:USC00330676,",,0,0700",83
91,1997-06-15T00:00:00,TOBS,GHCND:USC00330676,",,0,0700",178
92,1997-06-16T00:00:00,PRCP,GHCND:USC00330676,",,0,0700",0
93,1997-06-16T00:00:00,SNOW,GHCND:USC00330676,"P,,0,",0
94,1997-06-16T00:00:00,SNWD,GHCND:USC00330676,"P,,0,",0
95,1997-06-16T00:00:00,TMAX,GHCND:USC00330676,",,0,0700",278
96,1997-06-16T00:00:00,TMIN,GHCND:USC00330676,",,0,0700",106
97,1997-06-16T00:00:00,TOBS,GHCND:USC00330676,",I,0,0700",161
98,1997-06-17T00:00:00,PRCP,GHCND:USC00330676,",,0,0700",140
99,1997-06-17T00:00:00,SNOW,GHCND:USC00330676,"P,,0,",0
100,1997-06-17T00:00:00,SNWD,GHCND:USC00330676,"P,,0,",0
101,1997-06-17T00:00:00,TMAX,GHCND:USC00330676,",,0,0700",283
102,1997-06-17T00:00:00,TMIN,GHCND:USC00330676,",I,0,0700",172
103,1997-06-17T00:00:00,TOBS,GHCND:USC00330676,",,0,0700",183
104,1997-06-17T00:00:00,WT01,GHCND:USC00330676,",,0,",1
105,1997-06-18T00:00:00,PRCP,GHCND:USC00330676,",,0,0700",10
106,1997-06-18T00:00:00,SNOW,GHCND:USC00330676,"P,,0,",0
107,1997-06-18T00:00:00,SNWD,GHCND:USC00330676,"P,,0,",0
108,1997-06-18T00:00:00,TMAX,GHCND:USC00330676,",,0,0700",289
109,1997-06-18T00:00:00,TMIN,GHCND:USC00330676,",,0,0700",183
110,1997-06-18T00:00:00,TOBS,GHCND:USC00330676,",,0,0700",206
111,1997-06-19T00:00:00,PRCP,GHCND:USC00330676,",,0,0700",114
112,1997-06-19T00:00:00,SNOW,GHCND:USC00330676,"P,,0,",0
113,1997-06-19T00:00:00,SNWD,GHCND:USC00330676,"P,,0,",0
114,1997-06-19T00:00:00,TMAX,GHCND:USC00330676,",,0,0700",294
115,1997-06-19T00:00:00,TMIN,GHCND:USC00330676,",,0,0700",150
116,1997-06-19T00:00:00,TOBS,GHCND:USC00330676,",,0,0700",161
117,1997-06-19T00:00:00,WT03,GHCND:USC00330676,",,0,",1
118,1997-06-20T00:00:00,PRCP,GHCND:USC00330676,",,0,0700",0
119,1997-06-20T00:00:00,SNOW,GHCND:USC00330676,"P,,0,",0
120,1997-06-20T00:00:00,SNWD,GHCND:USC00330676,"P,,0,",0
121,1997-06-20T00:00:00,TMAX,GHCND:USC00330676,",,0,0700",294
122,1997-06-20T00:00:00,TMIN,GHCND:USC00330676,",,0,0700",161
123,1997-06-20T00:00:00,TOBS,GHCND:USC00330676,",I,0,0700",183
124,1997-06-20T00:00:00,WT01,GHCND:USC00330676,",,0,",1
125,1997-06-21T00:00:00,PRCP,GHCND:USC00330676,",,0,0700",0
126,1997-06-21T00:00:00,SNOW,GHCND:USC00330676,"P,,0,",0
127,1997-06-21T00:00:00,SNWD,GHCND:USC00330676,"P,,0,",0
128,1997-06-21T00:00:00,TMAX,GHCND:USC00330676,",,0,0700",322
129,1997-06-21T00:00:00,TMIN,GHCND:USC00330676,",I,0,0700",228
130,1997-06-21T00:00:00,TOBS,GHCND:USC00330676,",,0,0700",228
131,1997-06-22T00:00:00,PRCP,GHCND:USC00330676,",,0,0700",0
132,1997-06-22T00:00:00,SNOW,GHCND:USC00330676,"P,,0,",0
133,1997-06-22T00:00:00,SNWD,GHCND:USC00330676,"P,,0,",0
134,1997-06-22T00:00:00,TMAX,GHCND:USC00330676,",,0,0700",322
135,1997-06-22T00:00:00,TMIN,GHCND:USC00330676,",,0,0700",228
136,1997-06-22T00:00:00,TOBS,GHCND:USC00330676,",,0,0700",228
137,1997-06-23T00:00:00,PRCP,GHCND:USC00330676,",,0,0700",0
138,1997-06-23T00:00:00,SNOW,GHCND:USC00330676,"P,,0,",0
139,1997-06-23T00:00:00,SNWD,GHCND:USC00330676,"P,,0,",0
140,1997-06-23T00:00:00,TMAX,GHCND:USC00330676,",,0,0700",317
141,1997-06-23T00:00:00,TMIN,GHCND:USC00330676,",,0,0700",178
142,1997-06-23T00:00:00,TOBS,GHCND:USC00330676,",,0,0700",183
143,1997-06-24T00:00:00,PRCP,GHCND:USC00330676,",,0,0700",0
144,1997-06-24T00:00:00,SNOW,GHCND:USC00330676,"P,,0,",0
145,1997-06-24T00:00:00,SNWD,GHCND:USC00330676,"P,,0,",0
146,1997-06-24T00:00:00,TMAX,GHCND:USC00330676,",,0,0700",328
147,1997-06-24T00:00:00,TMIN,GHCND:USC00330676,",,0,0700",178
148,1997-06-24T00:00:00,TOBS,GHCND:USC00330676,",I,0,0700",183
149,1997-06-24T00:00:00,WT01,GHCND:USC00330676,",,0,",1
150,1997-06-25T00:00:00,PRCP,GHCND:USC00330676,",,0,0700",0
151,1997-06-25T00:00:00,SNOW,GHCND:USC00330676,"P,,0,",0
152,1997-06-25T00:00:00,SNWD,GHCND:USC00330676,"P,,0,",0
153,1997-06-25T00:00:00,TMAX,GHCND:USC00330676,",,0,0700",333
154,1997-06-25T00:00:00,TMIN,GHCND:USC00330676,",I,0,0700",211
155,1997-06-25T00:00:00,TOBS,GHCND:USC00330676,",,0,0700",217
156,1997-06-26T00:00:00,PRCP,GHCND:USC00330676,",,0,0700",10
157,1997-06-26T00:00:00,SNOW,GHCND:USC00330676,"P,,0,",0
158,1997-06-26T00:00:00,SNWD,GHCND:USC00330676,"P,,0,",0
159,1997-06-26T00:00:00,TMAX,GHCND:USC00330676,",,0,0700",333
160,1997-06-26T00:00:00,TMIN,GHCND:USC00330676,",,0,0700",211
161,1997-06-26T00:00:00,TOBS,GHCND:USC00330676,",,0,0700",217
162,1997-06-27T00:00:00,PRCP,GHCND:USC00330676,",,0,0700",3
163,1997-06-27T00:00:00,SNOW,GHCND:USC00330676,"P,,0,",0
164,1997-06-27T00:00:00,SNWD,GHCND:USC00330676,"P,,0,",0
165,1997-06-27T00:00:00,TMAX,GHCND:USC00330676,",,0,0700",283
166,1997-06-27T00:00:00,TMIN,GHCND:USC00330676,",,0,0700",161
167,1997-06-27T00:00:00,TOBS,GHCND:USC00330676,",,0,0700",167
168,1997-06-28T00:00:00,PRCP,GHCND:USC00330676,",,0,0700",0
169,1997-06-28T00:00:00,SNOW,GHCND:USC00330676,"P,,0,",0
170,1997-06-28T00:00:00,SNWD,GHCND:USC00330676,"P,,0,",0
171,1997-06-28T00:00:00,TMAX,GHCND:USC00330676,",,0,0700",311
172,1997-06-28T00:00:00,TMIN,GHCND:USC00330676,",,0,0700",150
173,1997-06-28T00:00:00,TOBS,GHCND:USC00330676,",,0,0700",167
174,1997-06-29T00:00:00,PRCP,GHCND:USC00330676,",,0,0700",0
175,1997-06-29T00:00:00,SNOW,GHCND:USC00330676,"P,,0,",0
